UID          PID    PPID  C STIME TTY          TIME CMD
root         663       1  0 09:01 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         666       1  0 09:01 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        691     634  0 09:01 ?        00:00:00 avahi-daemon: chroot helper
root         709       1  0 09:01 ?        00:00:00 /usr/sbin/ModemManager
root         727       1  0 09:01 ?        00:00:00 /usr/sbin/cupsd -l
root         747       1  0 09:01 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
lp           751     727  0 09:01 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root         754       1  0 09:01 ?        00:00:00 /usr/sbin/gdm3
root         763     754  0 09:01 ?        00:00:00 gdm-session-worker [pam/gdm-autologin]
root         780       1  0 09:01 ?        00:00:00 /usr/sbin/cups-browsed
kernoops     785       1  0 09:01 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     788       1  0 09:01 ?        00:00:00 /usr/sbin/kerneloops
emma         803       1  0 09:01 ?        00:00:00 /lib/systemd/systemd --user
emma         808     803  0 09:01 ?        00:00:00 (sd-pam)
emma         838     803  0 09:01 ?        00:00:00 /usr/bin/pipewire
emma         839     803  0 09:01 ?        00:00:00 /usr/bin/pipewire-media-session
emma         840     803  0 09:01 ?        00:00:01 /usr/bin/pulseaudio --daemonize=no --log-target=journal
emma         841     803  0 09:01 ?        00:00:01 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
rtkit        847       1  0 09:01 ?        00:00:00 /usr/libexec/rtkit-daemon
emma         853       1  0 09:01 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
emma         863     763  0 09:01 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
emma         864     803  0 09:01 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
emma         871     863  0 09:01 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
emma         872     803  0 09:01 ?        00:00:00 /usr/libexec/gvfsd
emma         896     803  0 09:01 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
emma         931     803  0 09:01 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
emma         957     803  0 09:01 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
emma         985     803  6 09:01 ?        00:00:53 /usr/bin/gnome-shell
emma         986     957  0 09:01 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
emma         995     986  0 09:01 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
emma        1017     803  0 09:01 ?        00:00:00 /usr/libexec/xdg-document-portal
emma        1020     803  0 09:01 ?        00:00:00 /usr/libexec/xdg-permission-store
root        1028    1017  0 09:01 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
emma        1149     803  0 09:01 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
emma        1150     841  0 09:01 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
emma        1156     803  0 09:01 ?        00:00:00 /usr/libexec/evolution-source-registry
root        1157       1  0 09:01 ?        00:00:00 /usr/libexec/upowerd
emma        1164     803  0 09:01 ?        00:00:00 /usr/libexec/xdg-desktop-portal
emma        1173     803  0 09:01 ?        00:00:00 /usr/libexec/goa-daemon
emma        1174     803  0 09:01 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
emma        1181     803  0 09:01 ?        00:00:00 /usr/libexec/dconf-service
emma        1188     803  0 09:01 ?        00:00:00 /usr/libexec/evolution-calendar-factory
emma        1189     803  0 09:01 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
emma        1200     803  0 09:01 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
emma        1204     803  0 09:01 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
emma        1214     803  0 09:01 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
emma        1217     803  0 09:01 ?        00:00:00 /usr/libexec/goa-identity-service
emma        1224     803  0 09:01 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
emma        1234     803  0 09:01 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
root        1244       1  0 09:01 ?        00:00:00 /usr/libexec/packagekitd
emma        1254     872  0 09:01 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.6 /org/gtk/gvfs/exec_spaw/0
emma        1263     803  0 09:01 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
emma        1265     803  0 09:01 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
emma        1270     803  0 09:01 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
emma        1271     803  0 09:01 ?        00:00:00 /usr/libexec/gsd-a11y-settings
emma        1275    1270  0 09:01 ?        00:00:01 /usr/bin/ibus-daemon --panel disable
emma        1276     803  0 09:01 ?        00:00:00 /usr/libexec/gsd-color
emma        1277     803  0 09:01 ?        00:00:00 /usr/libexec/gsd-datetime
emma        1281     803  0 09:01 ?        00:00:00 /usr/libexec/gsd-housekeeping
emma        1283     803  0 09:01 ?        00:00:00 /usr/libexec/gsd-keyboard
emma        1287     803  0 09:01 ?        00:00:00 /usr/libexec/gsd-media-keys
emma        1290     803  0 09:01 ?        00:00:00 /usr/libexec/gsd-power
emma        1293     803  0 09:01 ?        00:00:00 /usr/libexec/gsd-print-notifications
emma        1297     803  0 09:01 ?        00:00:00 /usr/libexec/gsd-rfkill
emma        1301     803  0 09:01 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
emma        1309     803  0 09:01 ?        00:00:00 /usr/libexec/gsd-sharing
emma        1319     803  0 09:01 ?        00:00:00 /usr/libexec/gsd-smartcard
emma        1320     803  0 09:01 ?        00:00:00 /usr/libexec/gsd-sound
emma        1323     803  0 09:01 ?        00:00:00 /usr/libexec/gsd-wacom
emma        1341    1275  0 09:01 ?        00:00:00 /usr/libexec/ibus-dconf
emma        1342    1275  0 09:01 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
emma        1346     803  0 09:01 ?        00:00:00 /usr/libexec/ibus-portal
emma        1355     957  0 09:01 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
emma        1371     957  0 09:01 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
emma        1406     803  0 09:01 ?        00:00:00 /usr/libexec/gsd-printer
emma        1445    1275  0 09:01 ?        00:00:00 /usr/libexec/ibus-engine-simple
emma        1474     803  0 09:02 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
colord      1475       1  0 09:02 ?        00:00:00 /usr/libexec/colord
emma        1503     803  0 09:02 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
emma        1505     803  0 09:02 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
emma        1523     985  0 09:02 ?        00:00:00 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:800:600:1:27:0:74:0:0
emma        1564     803  0 09:02 ?        00:00:00 /usr/libexec/gvfsd-metadata
emma        1600     803  0 09:02 ?        00:00:03 /usr/libexec/gnome-terminal-server
emma        1618    1600  0 09:02 pts/0    00:00:00 bash
emma        1633     985  0 09:02 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.J6HP41 -listen 4 -listen 5 -displayfd 6 -initfd 7
emma        1637     803  0 09:02 ?        00:00:00 /usr/libexec/gsd-xsettings
emma        1661     803  0 09:02 ?        00:00:00 /usr/libexec/ibus-x11
emma        1680     957  0 09:02 ?        00:00:00 update-notifier
root        1922       2  0 09:07 ?        00:00:00 [kworker/u4:1-events_unbound]
root        1955       2  0 09:07 ?        00:00:00 [kworker/u4:2-events_unbound]
root        2021       2  0 09:07 ?        00:00:00 [kworker/1:0-events]
emma        2337    1618  0 09:15 pts/0    00:00:00 ps -ef
